ABNAESMMXXX	THE ROYAL BANK OF SCOTLAND PLC, SUCURSAL EN ESPAÑA.	0156
AHCFESMMXXX	AHORRO CORPORACION FINANCIERA, S.A., SOCIEDAD DE VALORES	3524
AHCRESVVXXX	BANKIA BANCA PRIVADA, S.A.U	0099
ALCLESMMXXX	BANCO ALCALA, S.A.	0188
AREBESMMXXX	ARESBANK, S.A.	0136
BAPUES22XXX	BANCA PUEYO, S.A.	0078
BARCESMMXXX	BARCLAYS BANK, S.A.	0065
BASKES2BXXX	KUTXABANK, S.A.	2095
BBPIESMMXXX	BANCO BPI, S.A., SUCURSAL EN ESPAÑA.	0190
BBRUESMXXXX	ING BELGIUM, S.A., SUCURSAL EN ESPAÑA.	0168
BBVAESMMXXX	BANCO BILBAO VIZCAYA ARGENTARIA, S.A.	0182
BCOEESMM081	CAJA R. DE CASTILLA-LA MANCHA, S.C.C.	3081
BCOEESMMXXX	BANCO COOPERATIVO ESPAÑOL, S.A.	0198
BESMESMMXXX	BANCO ESPIRITO SANTO, S.A., SUCURSAL EN ESPAÑA.	0131
BFASESMM	BANCO FINANCIERO Y DE AHORRO, S.A.	0488
BFIVESBBXXX	BANCO MEDIOLANUM, S.A.	0186
BKBKESMMXXX	BANKINTER, S.A.	0128
BKOAES22XXX	BANKOA, S.A.	0138
BMARES2MXXX	BANCA MARCH, S.A.	0061
BMCEESMMXXX	BANQUE MAROCAINE COMMERCE EXTERIEUR INTERNATIONAL, S.A.	0219
BNPAESMHXXX	BNP PARIBAS, SUCURSAL EN ESPAÑA.	0149
BNPAESMZXXX	BNP PARIBAS ESPAÑA, S.A.	0058
BOTKESMXXXX	THE BANK OF TOKYO-MITSUBISHI UFJ, LTD, SUCURSAL EN ESPAÑA.	0160
BPLCESMMXXX	BARCLAYS BANK PLC, SUCURSAL EN ESPAÑA.	0152
BRASESMMXXX	BANCO DO BRASIL, S.A., SUCURSAL EN ESPAÑA.	0155
BSABESBBXXX	BANCO DE SABADELL, S.A.	0081
BSCHESMMXXX	BANCO SANTANDER, S.A.	0049
BSUIESMMXXX	CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK, SUCURSAL EN ESPAÑA.	0154
BVALESMMXXX	RBC INVESTOR SERVICES ESPAÑA, S.A.	0094
CAGLESMMVIG	NCG BANCO, S.A.	2080
CAHMESMMXXX	BANKIA, S.A.	2038
CAIXESBBXXX	CAIXABANK, S.A.	2100
CAPIESMMXXX	CM CAPITAL MARKETS BOLSA, SOCIEDAD DE VALORES, S.A.	3604
CASDESBBXXX	CAJA DE ARQUITECTOS S.C.C.	3183
CAZRES2ZXXX	IBERCAJA BANCO, S.A.	2085
CCOCESMMXXX	BANCO CAMINOS, S.A.	0234
CCRIES2AXXX	CAJAS RURALES UNIDAS, S.C.C.	3058
CDENESBBXXX	CAIXA DE C. DELS ENGINYERS C.C. INGENIEROS, S.C.C.	3025
CECAESMM045	CAJA DE AHORROS Y M.P. DE ONTINYENT.	2045
CECAESMM048	LIBERBANK, S.A.	2048
CECAESMM056	COLONYA - CAIXA D’ESTALVIS DE POLLENSA.	2056
CECAESMM086	BANCO GRUPO CAJATRES, S.A.	2086
CECAESMMXXX	CECABANK, S.A.	2000
CESCESBBXXX	CATALUNYA BANC, S.A.	2013
CGDIESMMXXX	BANCO CAIXA GERAL, S.A.	0130
CITIES2XXXX	CITIBANK ESPAÑA, S.A.	0122
CITIESMXSEC	CITIBANK INTERNATIONAL PLC, SUCURSAL EN ESPAÑA.	1474
CLPEES2MXXX	CAJA LABORAL POPULAR, C.C.	3035
COBAESMXTMA	COMMERZBANK AKTIENGESELLSCHAFT, SUCURSAL EN ESPAÑA.	0159
CRESESMMXXX	CREDIT SUISSE AG, SUCURSAL EN ESPAÑA.	1460
CSPAES2L108	BANCO DE CAJA ESPAÑA DE INVERSIONES, SALAMANCA Y SORIA, S.A.	2108
CSSOES2SFIN	FINANDUERO, SOCIEDAD DE VALORES, S.A.	3656
CSURES2CXXX	CAJASUR BANCO, S.A	0237
DEUTESBBASS	DEUTSCHE BANK, S.A.E.	0019
DSBLESMMXXX	DEXIA SABADELL, S.A.	0231
EHYPESMXXXX	HYPOTHEKENBANK FRANKFURT AG. SUCURSAL EN ESPAÑA.	1467
ESPBESMMXXX	BANCO DE ESPAÑA.	9000
ESSIESMMXXX	BANCO ESPIRITO SANTO DE INVESTIMENTO, S.A., SUCURSAL EN ESPAÑA.	1497
ETCHES2GXXX	BANCO ETCHEVERRIA, S.A.	0031
GALEES2GXXX	BANCO GALLEGO, S.A.	0046
GBMNESMMXXX	BANCO MARE NOSTRUM, S.A.	0487
GEBAESMMBIL	BNP PARIBAS FORTIS, S.A., N.V., SUCURSAL EN ESPAÑA.	0167
GVCBESBBETB	GVC GAESCO VALORES, SOCIEDAD DE VALORES, S.A.	3682
IBRCESMMXXX	SOC. GEST. SIST. REGIST. Y LIQUID. VALORES.	9096
ICROESMMXXX	INSTITUTO DE CREDITO OFICIAL.	1000
INGDESMMXXX	ING DIRECT, N.V., SUCURSAL EN ESPAÑA.	1465
INSGESMMXXX	INVERSEGUROS, SOCIEDAD DE VALORES, S.A.	3575
INVLESMMXXX	BANCO INVERSIS, S.A.	0232
IPAYESMMXXX	SOCIEDAD ESPAÑOLA DE SISTEMAS DE PAGO, S.A.	9020
IVALESMMXXX	INTERMONEY VALORES, SOCIEDAD DE VALORES, S.A.	3669
LISEESMMXXX	LINK SECURITIES, SOCIEDAD DE VALORES, S.A.	3641
LOYIESMMXXX	LLOYDS BANK INTERNATIONAL, S.A.U.	0236
MADRESMMXXX	BANCO DE MADRID, S.A.	0059
MEFFESBBXXX	MEFF SOCIEDAD RECTORA DE PRODUCTOS DERIVADOS S.A.U.	9094
MIDLESMXXXX	HSBC BANK PLC, SUCURSAL EN ESPAÑA.	0162
MISVESMMXXX	MAPFRE INVERSION, SOCIEDAD DE VALORES, S.A.	3563
MLCEESMMXXX	MERRILL LYNCH CAPITAL MARKETS ESPAÑA, S.A., SOCIEDAD DE VALORES.	3661
NACNESMMXXX	BANCO DE LA NACION ARGENTINA, SUCURSAL EN ESPAÑA.	0169
NATXESMMXXX	NATIXIS, S.A., SUCURSAL EN ESPAÑA.	1479
PARBESMHXXX	BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA.	0144
POHIESMM	TARGOBANK, S.A.	0216
POPIESMMXXX	POPULAR BANCA PRIVADA, S.A.	0233
POPLESMMXXX	BANCO POPULAR-E, S.A.	0229
POPUESMMXXX	BANCO POPULAR ESPAÑOL, S.A.	0075
PRABESMMXXX	COOP. CENTR. RAIFFEISEN-BOERENL. (RABOBANK NED.), SUCURSAL EN ESPAÑA.	1459
PROAESMMXXX	EBN BANCO DE NEGOCIOS, S.A.	0211
RENBESMMXXX	RENTA 4 BANCO, S.A.	0083
RENTESMMXXX	RENTA 4 SOCIEDAD DE VALORES, S.A.	3501
SOGEESMMAGM	SOCIETE GENERALE, SUCURSAL EN ESPAÑA.	0108
UBIBESMMXXX	UBI BANCA INTERNATIONAL, S.A., SUCURSAL EN ESPAÑA.	1524
UBSWESMMNPB	UBS BANK, S.A.	0226
UCJAES2MXXX	UNICAJA BANCO, S.A.	2103
VALEESVVXXX	BANCO DE VALENCIA, S.A.	0093
WELAESMMFUN	PORTIGON AG, SUCURSAL EN ESPAÑA	0196
XBCNESBBXXX	SDAD. RECTORA BOLSA VALORES DE BARCELONA, S.A., SRBV.	9091
XRBVES2BXXX	SDAD. RECTORA BOLSA DE VALORES DE BILBAO, S.A., SRBV.	9092
XRVVESVVXXX	SDAD. RECTORA BOLSA VALORES DE VALENCIA, S.A., SRBV.	9093
